"No.","Time","Source","Destination","Protocol","Length","Info"
"55","27.319968000","fe80::212:7400:e32:f1d7","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"56","27.324910000","fe80::212:7400:e32:f1d7","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"57","27.329870000","fe80::212:7400:e32:f1d7","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"58","27.334678000","fe80::212:7400:e32:f1d7","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"59","27.339438000","fe80::212:7400:e32:f1d7","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"60","27.344524000","fe80::212:7400:e32:f1d7","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"61","27.349629000","fe80::212:7400:e32:f1d7","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"62","27.354636000","fe80::212:7400:e32:f1d7","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"63","27.359380000","fe80::212:7400:e32:f1d7","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"64","27.364451000","fe80::212:7400:e32:f1d7","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"65","27.369222000","fe80::212:7400:e32:f1d7","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"66","27.374014000","fe80::212:7400:e32:f1d7","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"67","27.379017000","fe80::212:7400:e32:f1d7","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"68","27.383880000","fe80::212:7400:e32:f1d7","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"69","27.388763000","fe80::212:7400:e32:f1d7","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"70","27.393757000","fe80::212:7400:e32:f1d7","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"71","27.398662000","fe80::212:7400:e32:f1d7","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"72","27.403740000","fe80::212:7400:e32:f1d7","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"73","27.411047000","fe80::212:7400:e32:f1d7","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"74","27.416176000","fe80::212:7400:e32:f1d7","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"75","27.421233000","fe80::212:7400:e32:f1d7","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"76","27.425967000","fe80::212:7400:e32:f1d7","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"77","27.430976000","fe80::212:7400:e32:f1d7","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"78","31.258458000","fe80::212:7400:e33:1389","fe80::212:7400:e32:f1d7","ICMPv6","97","RPL Control (Destination Advertisement Object)"
"79","31.259254000","","","IEEE 802.15.4","5","Ack"
"80","34.315230000","fe80::212:7400:e33:1389","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"81","34.320110000","fe80::212:7400:e33:1389","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"82","34.325112000","fe80::212:7400:e33:1389","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"83","34.330171000","fe80::212:7400:e33:1389","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"84","34.335167000","fe80::212:7400:e33:1389","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"85","34.340233000","fe80::212:7400:e33:1389","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"86","34.345243000","fe80::212:7400:e33:1389","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"87","34.350287000","fe80::212:7400:e33:1389","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"88","34.357859000","fe80::212:7400:e33:1389","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"89","34.362803000","fe80::212:7400:e33:1389","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"90","34.367863000","fe80::212:7400:e33:1389","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"91","34.372927000","fe80::212:7400:e33:1389","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"92","34.378024000","fe80::212:7400:e33:1389","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"93","34.383051000","fe80::212:7400:e33:1389","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"94","34.388070000","fe80::212:7400:e33:1389","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"95","34.393297000","fe80::212:7400:e33:1389","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"96","34.398296000","fe80::212:7400:e33:1389","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"97","34.403265000","fe80::212:7400:e33:1389","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
